object_id,redshift,log10M_\star_M_\odot_median,log10M_\star_M_\odot_err_plus,log10M_\star_M_\odot_err_minus,log10Z_Z_\odot_median,log10Z_Z_\odot_err_plus,log10Z_Z_\odot_err_minus,"tau\,Gyr_median","tau\,Gyr_err_plus","tau\,Gyr_err_minus","t_{\mathrm{age\,Gyr_median","t_{\mathrm{age\,Gyr_err_plus","t_{\mathrm{age\,Gyr_err_minus",tau_{\mathrm{dust_median,tau_{\mathrm{dust_err_plus,tau_{\mathrm{dust_err_minus,SFR_M_\odot_yr{-1_median,SFR_M_\odot_yr{-1_err_plus,SFR_M_\odot_yr{-1_err_minus,sSFR_yr{-1_median,sSFR_yr{-1_err_plus,sSFR_yr{-1_err_minus,A_v_mag_median,A_v_mag_err_plus,A_v_mag_err_minus
611255828556568049,0.5806,9.73479990250709,0.0531505110390178,0.12679648052919568,0.36929747901963395,0.1062679688825548,0.328612678423914,1.5570691538091,0.28633755133087746,0.24916174748047526,0.8877155148415419,0.5457315308834569,0.3249407786207036,11.528480397083054,11.26617331307763,8.962782195660957,1.0127544206850732,0.2313273363050572,0.17925764015162204,-8.66460939362864,0.18914888356525772,0.22914702520257535,12.5199297112322,12.235064218002309,9.733581464487802
611255828556556775,1.2274,10.812712655344221,0.08979496454321634,0.08831539553780665,-1.6258024065680632,0.43039736609138646,0.2752816153740254,1.8004427662151048,0.11280551771209546,0.15462105682519844,1.9645481932459874,1.252291355421427,0.7665881595437007,1.2533708570289173,1.9877584769637051,0.7100423406979026,1.5570309599949421,0.09915247908255909,0.1329416800101022,-9.256220087181205,0.15453694233812243,0.19717226151696643,1.3611607507334043,2.158705705982584,0.7711059819979224
611255828556565882,1.303,10.761288857281908,0.1177125072629952,0.11722223614944483,-0.7934082982392566,0.7441124118462605,0.7092075090500322,1.0051746603415816,0.5038179404223728,0.3910433086354794,2.7491675554857693,1.236197754692956,1.0733352496414434,0.5691186228672144,0.3718567190726073,0.22251525593153232,0.6207434942079534,0.5580885867892221,0.46173203290756726,-10.170787007752844,0.5458020313290621,0.3825786747050781,0.6180628244337949,0.40383639691285156,0.24165156794164422
611255828556570853,1.041,11.10754839299342,0.15010877889404028,0.06379072536315533,0.12901295212973185,0.24544413690719796,0.4468407897379908,0.9848700721560492,0.2564849565680368,0.22703744631538025,1.4224665155106537,0.9499243938387609,0.27483795398173183,0.13181276647797024,0.08109455681592997,0.02521439940562116,-0.500950053553048,0.5032101946734198,0.7993225412891782,-11.62972065557459,0.4625899128983644,0.7996619816369979,0.1431486643950757,0.08806868870209994,0.027382837754504605
611255828556558427,1.612,10.730962133351547,0.019233561177228964,0.006025872732390525,-0.8319664530691503,0.6174838154295608,0.7454773991222968,0.7888508903670961,0.4392523814458138,0.36476303905709584,1.2046900091831576,0.36327219538583644,0.4278232848609498,0.20926790836572404,0.47669097286076967,0.07210462426885492,0.9205101366628522,0.6344693399138651,0.6467432907295498,-9.833567419012828,0.660108736072269,0.6189028576783606,0.2272649484851763,0.5176863965267959,0.07830562195597643
611255828556558365,0.2141,9.423810105117784,0.026531582522352437,0.041202256455509456,-1.9163253022444833,0.1424036609442676,0.06567314116853451,1.4931398960999223,0.28985964605166736,0.39683219520994495,3.331609365704208,2.5825028109447,1.5353441817303057,2.909268365657102,3.5158750359467064,1.8256302164295626,0.010936163881717352,0.19835701456664082,0.2688686802492138,-9.412404528170438,0.18447205896157293,0.23415768085156685,3.1594654451036126,3.8182402890381235,1.9826344150425048
611255828556564151,0.5375,10.042740114274762,0.06830004371598619,0.10921708802697871,-1.5587677873860089,0.5463197645410913,0.30078236332640196,1.6896936305744508,0.1877994805265668,0.23964179586888235,4.718065871008955,2.1691953367179257,1.7672500171727266,3.73573183360274,2.999148020854177,1.826616151456859,0.448557758316385,0.14693602780776505,0.1642197814422412,-9.594925179419516,0.1720533815046359,0.1669038772703768,4.057004771292576,3.2570747506476367,1.9837051404821486
611255141361799805,0.2262,9.076091196129736,0.03338136505721678,0.04764870261731957,0.24466945328586448,0.15782094202787506,0.20506193295583544,0.8862794001571919,0.21438963458887828,0.4077587633438186,1.2729168771870825,1.0799595842885124,0.3247379670464978,0.3847918500403861,0.3916869608090363,0.11064281906896162,-0.35724824688120466,0.16181367525476018,0.25892748881546296,-9.422260336976823,0.14585249009138046,0.245306549313975,0.4178839491438593,0.42537203943861335,0.12015810150889228
611255072642320535,0.964,11.259202665980267,0.2692439315187709,0.40240790093847956,0.25520007413968143,0.2069569699207493,0.28185244413156596,0.12055249952052902,0.12076403267306332,0.11872325573926136,1.6847090104848297,0.6169121220149099,0.7417884141394444,0.15790075233537348,0.10956490510601585,0.057650315852627365,-0.24259373174051652,0.15995685439006296,0.869808829991539,-11.710264747979604,0.6277784061347891,0.6240413471556074,0.17148021703621563,0.11898748694513323,0.06260824301595334
611255759837089823,2.06,11.292074544597083,0.10461826828474052,0.36784686778663733,-1.3924400135346282,0.39209617237203087,0.3338458120756185,1.2790406906589933,0.05733927778513559,0.059078957494596906,2.2599807861213463,0.6785210695094537,1.599098299997464,4.022301306036148,9.013707470165652,3.132114766947953,2.1799416619894307,0.07516229438264599,0.06227856749473304,-9.115987264996278,0.4162584493281756,0.1363711855541343,4.368219218355257,9.7888863125999,3.4014766369054774
